signal_date,available_date,MLP
2020-01-02,2020-01-03,-0.451171875
2020-01-03,2020-01-06,-0.376953125
2020-01-06,2020-01-07,-0.232421875
2020-01-07,2020-01-08,-0.1572265625
2020-01-08,2020-01-09,-0.08544921875
2020-01-09,2020-01-10,-0.107421875
2020-01-10,2020-01-13,-0.291015625
2020-01-13,2020-01-14,-0.279296875
2020-01-14,2020-01-15,-0.796875
2020-01-15,2020-01-16,-0.455078125
2020-01-16,2020-01-17,-0.5
2020-01-17,2020-01-20,-0.2421875
2020-01-20,2020-01-21,-0.1806640625
2020-01-21,2020-01-22,0.024658203125
2020-01-22,2020-01-23,-0.2421875
2020-01-23,2020-02-03,0.0693359375
2020-02-03,2020-02-04,0.396484375
2020-02-04,2020-02-05,-0.09130859375
2020-02-05,2020-02-06,-0.205078125
2020-02-06,2020-02-07,-0.35546875
2020-02-07,2020-02-10,-0.35546875
2020-02-10,2020-02-11,-0.294921875
2020-02-11,2020-02-12,0.083984375
2020-02-12,2020-02-13,0.051025390625
2020-02-13,2020-02-14,-0.036865234375
2020-02-14,2020-02-17,0.1669921875
2020-02-17,2020-02-18,-0.044189453125
2020-02-18,2020-02-19,-0.1513671875
2020-02-19,2020-02-20,-0.1669921875
2020-02-20,2020-02-21,-0.3046875
2020-02-21,2020-02-24,-0.0703125
2020-02-24,2020-02-25,-0.4453125
2020-02-25,2020-02-26,-0.6171875
2020-02-26,2020-02-27,-0.400390625
2020-02-27,2020-02-28,-0.494140625
2020-02-28,2020-03-02,0.11279296875
2020-03-02,2020-03-03,0.259765625
2020-03-03,2020-03-04,0.26953125
2020-03-04,2020-03-05,0.8515625
2020-03-05,2020-03-06,0.4140625
2020-03-06,2020-03-09,0.384765625
2020-03-09,2020-03-10,1.03125
2020-03-10,2020-03-11,0.09814453125
2020-03-11,2020-03-12,0.8984375
2020-03-12,2020-03-13,0.28125
2020-03-13,2020-03-16,-0.20703125
2020-03-16,2020-03-17,-0.38671875
2020-03-17,2020-03-18,-0.765625
2020-03-18,2020-03-19,-0.375
2020-03-19,2020-03-20,-0.302734375
2020-03-20,2020-03-23,-0.076171875
2020-03-23,2020-03-24,0.375
2020-03-24,2020-03-25,0.458984375
2020-03-25,2020-03-26,0.546875
2020-03-26,2020-03-27,0.5703125
2020-03-27,2020-03-30,0.4765625
2020-03-30,2020-03-31,0.93359375
2020-03-31,2020-04-01,1.046875
2020-04-01,2020-04-02,0.69921875
2020-04-02,2020-04-03,-0.1435546875
2020-04-03,2020-04-07,-0.04345703125
2020-04-07,2020-04-08,0.08447265625
2020-04-08,2020-04-09,0.15234375
2020-04-09,2020-04-10,-0.015625
2020-04-10,2020-04-13,0.53125
2020-04-13,2020-04-14,0.44140625
2020-04-14,2020-04-15,0.228515625
2020-04-15,2020-04-16,0.06494140625
2020-04-16,2020-04-17,-0.318359375
2020-04-17,2020-04-20,-0.392578125
2020-04-20,2020-04-21,-0.265625
2020-04-21,2020-04-22,-0.057861328125
2020-04-22,2020-04-23,-0.1611328125
2020-04-23,2020-04-24,0.1767578125
2020-04-24,2020-04-27,-0.12109375
2020-04-27,2020-04-28,-0.1640625
2020-04-28,2020-04-29,-0.20703125
2020-04-29,2020-04-30,-0.28515625
2020-04-30,2020-05-06,-0.2421875
2020-05-06,2020-05-07,0.0279541015625
2020-05-07,2020-05-08,0.049560546875
2020-05-08,2020-05-11,0.0771484375
2020-05-11,2020-05-12,0.1376953125
2020-05-12,2020-05-13,0.03564453125
2020-05-13,2020-05-14,0.1884765625
2020-05-14,2020-05-15,0.279296875
2020-05-15,2020-05-18,-0.228515625
2020-05-18,2020-05-19,-0.322265625
2020-05-19,2020-05-20,-0.2197265625
2020-05-20,2020-05-21,-0.1005859375
2020-05-21,2020-05-22,0.1767578125
2020-05-22,2020-05-25,0.10498046875
2020-05-25,2020-05-26,0.1650390625
2020-05-26,2020-05-27,0.06982421875
2020-05-27,2020-05-28,-0.06103515625
2020-05-28,2020-05-29,0.083984375
2020-05-29,2020-06-01,-0.030029296875
2020-06-01,2020-06-02,-0.10595703125
2020-06-02,2020-06-03,-0.283203125
2020-06-03,2020-06-04,-0.2578125
2020-06-04,2020-06-05,-0.0308837890625
2020-06-05,2020-06-08,-0.12890625
2020-06-08,2020-06-09,-0.06494140625
2020-06-09,2020-06-10,-0.34765625
2020-06-10,2020-06-11,-0.35546875
2020-06-11,2020-06-12,-0.375
2020-06-12,2020-06-15,-0.10888671875
2020-06-15,2020-06-16,0.259765625
2020-06-16,2020-06-17,0.1787109375
2020-06-17,2020-06-18,-0.1689453125
2020-06-18,2020-06-19,-0.2236328125
2020-06-19,2020-06-22,-0.2138671875
2020-06-22,2020-06-23,-0.1357421875
2020-06-23,2020-06-24,-0.080078125
2020-06-24,2020-06-29,-0.0054931640625
2020-06-29,2020-06-30,0.12109375
