signal_date,available_date,MLP
2025-12-31,2026-01-05,-0.0301513671875
2026-01-05,2026-01-06,0.2578125
2026-01-06,2026-01-07,0.158203125
2026-01-07,2026-01-08,-0.42578125
2026-01-08,2026-01-09,-0.546875
2026-01-09,2026-01-12,-0.74609375
2026-01-12,2026-01-13,-0.248046875
2026-01-13,2026-01-14,-0.099609375
2026-01-14,2026-01-15,-0.205078125
2026-01-15,2026-01-16,-0.1005859375
2026-01-16,2026-01-19,-0.51953125
2026-01-19,2026-01-20,-0.111328125
2026-01-20,2026-01-21,-0.053955078125
2026-01-21,2026-01-22,-0.1875
2026-01-22,2026-01-23,-0.005615234375
2026-01-23,2026-01-26,-0.4375
2026-01-26,2026-01-27,-0.208984375
2026-01-27,2026-01-28,-0.26953125
2026-01-28,2026-01-29,-0.341796875
2026-01-29,2026-01-30,-0.07958984375
2026-01-30,2026-02-02,-0.1787109375
2026-02-02,2026-02-03,0.1494140625
2026-02-03,2026-02-04,0.09912109375
2026-02-04,2026-02-05,0.099609375
2026-02-05,2026-02-06,0.060546875
2026-02-06,2026-02-09,0.1259765625
2026-02-09,2026-02-10,0.1328125
2026-02-10,2026-02-11,-0.044189453125
2026-02-11,2026-02-12,-0.01409912109375
2026-02-12,2026-02-13,0.12451171875
2026-02-13,2026-02-24,0.341796875
2026-02-24,2026-02-25,0.314453125
2026-02-25,2026-02-26,-0.07763671875
2026-02-26,2026-02-27,0.12060546875
2026-02-27,2026-03-02,0.197265625
2026-03-02,2026-03-03,0.033935546875
2026-03-03,2026-03-04,-0.0186767578125
2026-03-04,2026-03-05,0.0634765625
2026-03-05,2026-03-06,0.01300048828125
2026-03-06,2026-03-09,0.29296875
2026-03-09,2026-03-10,-0.0771484375
2026-03-10,2026-03-11,-0.1171875
2026-03-11,2026-03-12,-0.028076171875
2026-03-12,2026-03-13,-0.0595703125
2026-03-13,2026-03-16,0.037353515625
2026-03-16,2026-03-17,-0.1494140625
2026-03-17,2026-03-18,0.06884765625
2026-03-18,2026-03-19,-0.330078125
2026-03-19,2026-03-20,-0.036376953125
2026-03-20,2026-03-23,-0.00775146484375
2026-03-23,2026-03-24,0.058349609375
2026-03-24,2026-03-25,-0.091796875
2026-03-25,2026-03-26,-0.0927734375
2026-03-26,2026-03-27,-0.023193359375
2026-03-27,2026-03-30,-0.1123046875
2026-03-30,2026-03-31,-0.045654296875
2026-03-31,2026-04-01,-0.0191650390625
2026-04-01,2026-04-02,0.06787109375
2026-04-02,2026-04-03,-0.00299072265625
2026-04-03,2026-04-07,-0.12109375
2026-04-07,2026-04-08,0.220703125
2026-04-08,2026-04-09,0.08203125
2026-04-09,2026-04-10,0.1875
2026-04-10,2026-04-13,0.2392578125
2026-04-13,2026-04-14,0.06689453125
2026-04-14,2026-04-15,0.19921875
2026-04-15,2026-04-16,0.16796875
2026-04-16,2026-04-17,-0.046875
2026-04-17,2026-04-20,0.0294189453125
2026-04-20,2026-04-21,-0.0537109375
2026-04-21,2026-04-22,-0.109375
2026-04-22,2026-04-23,-0.0264892578125
2026-04-23,2026-04-24,0.01239013671875
2026-04-24,2026-04-27,-0.01220703125
2026-04-27,2026-04-28,-0.15625
2026-04-28,2026-04-29,-0.34765625
2026-04-29,2026-04-30,-0.26953125
2026-04-30,2026-05-06,-0.07568359375
2026-05-06,2026-05-07,-0.0296630859375
2026-05-07,2026-05-08,0.1591796875
2026-05-08,2026-05-11,-0.09326171875
2026-05-11,2026-05-12,0.1376953125
2026-05-12,2026-05-13,0.10498046875
2026-05-13,2026-05-14,-0.005096435546875
2026-05-14,2026-05-15,0.0286865234375
2026-05-15,2026-05-18,-0.2021484375
2026-05-18,2026-05-19,0.0123291015625
2026-05-19,2026-05-20,-0.21484375
2026-05-20,2026-05-21,-0.1767578125
2026-05-21,2026-05-22,-0.1123046875
2026-05-22,2026-05-25,-0.1630859375
2026-05-25,2026-05-26,-0.302734375
2026-05-26,2026-05-27,-0.07421875
2026-05-27,2026-05-28,0.162109375
2026-05-28,2026-05-29,0.1611328125
2026-05-29,2026-06-01,0.09619140625
2026-06-01,2026-06-02,-0.044677734375
2026-06-02,2026-06-03,-0.130859375
2026-06-03,2026-06-04,-0.138671875
2026-06-04,2026-06-05,-0.142578125
2026-06-05,2026-06-08,-0.11767578125
2026-06-08,2026-06-09,0.057861328125
2026-06-09,2026-06-10,-0.130859375
2026-06-10,2026-06-11,-0.0595703125
2026-06-11,2026-06-12,-0.17578125
2026-06-12,2026-06-15,-0.279296875
2026-06-15,2026-06-16,-0.09423828125
2026-06-16,2026-06-17,-0.30859375
2026-06-17,2026-06-18,-0.2734375
2026-06-18,2026-06-22,0.0079345703125
2026-06-22,2026-06-23,0.1171875
2026-06-23,2026-06-24,0.07666015625
2026-06-24,2026-06-25,-0.78125
2026-06-25,2026-06-26,-0.66796875
