signal_date,available_date,SVM
2020-01-02,2020-01-03,1.4731045961380005
2020-01-03,2020-01-06,1.537041187286377
2020-01-06,2020-01-07,1.1344938278198242
2020-01-07,2020-01-08,2.0701630115509033
2020-01-08,2020-01-09,1.5311321020126343
2020-01-09,2020-01-10,1.6518915891647339
2020-01-10,2020-01-13,1.4873594045639038
2020-01-13,2020-01-14,1.8343541622161865
2020-01-14,2020-01-15,1.5937087535858154
2020-01-15,2020-01-16,1.666980504989624
2020-01-16,2020-01-17,0.9545955061912537
2020-01-17,2020-01-20,0.739583432674408
2020-01-20,2020-01-21,1.0514408349990845
2020-01-21,2020-01-22,0.8557485938072205
2020-01-22,2020-01-23,1.1494325399398804
2020-01-23,2020-02-03,0.48424914479255676
2020-02-03,2020-02-04,0.4545268714427948
2020-02-04,2020-02-05,0.8756242394447327
2020-02-05,2020-02-06,0.7066770792007446
2020-02-06,2020-02-07,0.9105672240257263
2020-02-07,2020-02-10,0.9258890151977539
2020-02-10,2020-02-11,0.25350311398506165
2020-02-11,2020-02-12,0.5159140825271606
2020-02-12,2020-02-13,0.6941276788711548
2020-02-13,2020-02-14,0.31847015023231506
2020-02-14,2020-02-17,0.5216132402420044
2020-02-17,2020-02-18,0.36607393622398376
2020-02-18,2020-02-19,0.30183905363082886
2020-02-19,2020-02-20,0.5382378101348877
2020-02-20,2020-02-21,0.5344863533973694
2020-02-21,2020-02-24,0.7039169073104858
2020-02-24,2020-02-25,0.8827531337738037
2020-02-25,2020-02-26,0.8138280510902405
2020-02-26,2020-02-27,1.0176233053207397
2020-02-27,2020-02-28,0.8405852913856506
2020-02-28,2020-03-02,1.103835940361023
2020-03-02,2020-03-03,1.2028133869171143
2020-03-03,2020-03-04,-0.2604224383831024
2020-03-04,2020-03-05,-0.17461486160755157
2020-03-05,2020-03-06,0.2654931843280792
2020-03-06,2020-03-09,0.7361714243888855
2020-03-09,2020-03-10,0.3797040283679962
2020-03-10,2020-03-11,0.6738559603691101
2020-03-11,2020-03-12,-0.15216192603111267
2020-03-12,2020-03-13,0.10246102511882782
2020-03-13,2020-03-16,0.3296656608581543
2020-03-16,2020-03-17,-0.2733542025089264
2020-03-17,2020-03-18,-0.37954840064048767
2020-03-18,2020-03-19,-0.6782119870185852
2020-03-19,2020-03-20,-0.4068332016468048
2020-03-20,2020-03-23,-0.1423431932926178
2020-03-23,2020-03-24,0.3635120689868927
2020-03-24,2020-03-25,0.6063035726547241
2020-03-25,2020-03-26,0.5286996960639954
2020-03-26,2020-03-27,0.3691383898258209
2020-03-27,2020-03-30,-0.06919875741004944
2020-03-30,2020-03-31,0.09690806269645691
2020-03-31,2020-04-01,0.1612245738506317
2020-04-01,2020-04-02,1.7853832244873047
2020-04-02,2020-04-03,1.246889352798462
2020-04-03,2020-04-07,0.4000365734100342
2020-04-07,2020-04-08,0.7853543758392334
2020-04-08,2020-04-09,0.12959431111812592
2020-04-09,2020-04-10,2.440808057785034
2020-04-10,2020-04-13,-3.2063047885894775
2020-04-13,2020-04-14,0.5744335651397705
2020-04-14,2020-04-15,0.8228366374969482
2020-04-15,2020-04-16,1.7413122653961182
2020-04-16,2020-04-17,2.1463611125946045
2020-04-17,2020-04-20,-0.7737371921539307
2020-04-20,2020-04-21,0.46350884437561035
2020-04-21,2020-04-22,-0.9023089408874512
2020-04-22,2020-04-23,-1.407491683959961
2020-04-23,2020-04-24,-3.63944673538208
2020-04-24,2020-04-27,0.3626244068145752
2020-04-27,2020-04-28,-0.19840075075626373
2020-04-28,2020-04-29,0.014847025275230408
2020-04-29,2020-04-30,1.2968363761901855
2020-04-30,2020-05-06,3.100116491317749
2020-05-06,2020-05-07,1.950249195098877
2020-05-07,2020-05-08,2.3276803493499756
2020-05-08,2020-05-11,2.2689976692199707
2020-05-11,2020-05-12,2.6275289058685303
2020-05-12,2020-05-13,3.1285135746002197
2020-05-13,2020-05-14,3.1526529788970947
2020-05-14,2020-05-15,3.324280023574829
2020-05-15,2020-05-18,2.2756292819976807
2020-05-18,2020-05-19,2.7499382495880127
2020-05-19,2020-05-20,2.433007001876831
2020-05-20,2020-05-21,2.0960304737091064
2020-05-21,2020-05-22,2.6542866230010986
2020-05-22,2020-05-25,2.589834213256836
2020-05-25,2020-05-26,1.6595076322555542
2020-05-26,2020-05-27,2.1933958530426025
